ProjectKey,SprintState,nb_tickets_sprint,sprint_velocity,sprint_completion_rate,nb_bugs_sprint,nb_delayed_sprint,avg_lead_time_sprint,avg_cycle_time_sprint,nb_blocked_sprint,scope_change_count
DO,DO Sprint 10,6,4,66.7,0,6,17416.02,1467.34,1,4
PG,PG Sprint 5,5,3,60.0,0,5,16435.23,2354.82,1,3
NEOB,NEOB Sprint 24,3,1,33.3,0,3,10852.07,0.0,1,3
FDAI,FDAI Sprint 16,1,1,100.0,0,1,696.0,554.27,0,1
DO,DO Sprint 1,4,2,50.0,0,4,28266.04,2110.18,0,3
CSCCP25,CROSS Sprint 9,3,0,0.0,0,3,1835.58,1723.31,0,3
NEOB,NEOB Sprint 6,4,3,75.0,0,4,16860.07,0.0,0,4
FDAI,FDAI Sprint 8,6,5,83.3,0,6,6934.01,2585.09,0,4
PG,PG Sprint 4,8,6,75.0,0,8,11790.02,2909.7,1,7
DO,DO Sprint 11,7,2,28.6,0,7,35213.19,798.85,1,3
CSCCP25,No Sprint,26,0,0.0,0,12,7120.88,6842.49,0,5
PG,PG Sprint 3,5,1,20.0,0,5,30268.86,1934.23,0,1
NEOB,NEOB Sprint 31,3,2,66.7,0,3,8508.07,0.0,0,2
NEOB,NEOB Sprint 11,3,1,33.3,0,3,15212.07,0.0,0,1
NEOB,NEOB Sprint 5,3,1,33.3,0,3,17196.07,0.0,1,2
RIDIDP25,SPRINT 11,3,0,0.0,0,3,2964.07,0.0,0,0
NEOB,NEOB Sprint 14,2,0,0.0,0,2,14220.07,,0,0
NEOB,NEOB Sprint 47,5,4,80.0,0,5,2997.67,0.0,1,5
NEOB,NEOB Sprint 8,3,1,33.3,0,3,16244.07,0.0,1,2
