id,project_id,calculation_timestamp,metrics_period_start,metrics_period_end,year_week,lead_time,deployment_frequency,change_failure_rate,mttr,cycle_time,throughput,wip,bug_rate,velocity,code_coverage,data_source,project_phase,git_coverage_pct
CMIG_2025-W09,CMIG,2026-04-18 14:09:48,2025-02-24,2025-03-02,2025-W09,10008.07,,,,0.0,0,0,0.0,2,,jira_only,Phase 1 - Jira only,0.0
CMIG_2025-W10,CMIG,2026-04-18 14:09:48,2025-03-03,2025-03-09,2025-W10,9788.07,,,,0.0,0,1,0.0,3,,jira_only,Phase 1 - Jira only,0.0
CMIG_2025-W11,CMIG,2026-04-18 14:09:48,2025-03-10,2025-03-16,2025-W11,9660.07,,,,,0,1,0.0,1,,jira_only,Phase 1 - Jira only,0.0
CMIG_2025-W12,CMIG,2026-04-18 14:09:48,2025-03-17,2025-03-23,2025-W12,9468.07,,,,0.0,0,2,0.0,3,,jira_only,Phase 1 - Jira only,0.0
CMIG_2025-W13,CMIG,2026-04-18 14:09:48,2025-03-24,2025-03-30,2025-W13,9288.07,,,,0.0,0,1,0.0,2,,jira_only,Phase 1 - Jira only,0.0
CMIG_2025-W14,CMIG,2026-04-18 14:09:48,2025-03-31,2025-04-06,2025-W14,9168.07,,,,0.0,0,1,0.0,2,,jira_only,Phase 1 - Jira only,0.0
CMIG_2025-W15,CMIG,2026-04-18 14:09:48,2025-04-07,2025-04-13,2025-W15,8952.07,,,,0.0,0,0,0.0,2,,jira_only,Phase 1 - Jira only,0.0
CMIG_2025-W16,CMIG,2026-04-18 14:09:48,2025-04-14,2025-04-20,2025-W16,8796.07,,,,0.0,0,1,0.0,3,,jira_only,Phase 1 - Jira only,0.0
CMIG_2025-W17,CMIG,2026-04-18 14:09:48,2025-04-21,2025-04-27,2025-W17,8628.07,,,,0.0,0,1,0.0,3,,jira_only,Phase 1 - Jira only,0.0
CMIG_2025-W18,CMIG,2026-04-18 14:09:48,2025-04-28,2025-05-04,2025-W18,8412.07,,,,,0,1,0.0,1,,jira_only,Phase 1 - Jira only,0.0
