week,total_pipelines,success_pipelines,failed_pipelines,change_failure_rate,deployment_count
2025-W03,44,37,3,6.82,17
2025-W04,51,40,8,15.69,25
2025-W05,100,81,16,16.0,57
2025-W06,79,65,11,13.92,49
2025-W07,75,54,17,22.67,43
2025-W08,57,49,5,8.77,38
2025-W09,153,102,39,25.49,77
2025-W10,59,43,12,20.34,26
2025-W11,88,59,21,23.86,50
2025-W12,72,54,13,18.06,40
2025-W13,33,23,9,27.27,17
2025-W14,104,90,8,7.69,40
2025-W15,146,135,7,4.79,49
2025-W16,159,147,9,5.66,48
2025-W17,147,131,10,6.8,47
2025-W18,114,99,11,9.65,39
2025-W19,259,216,25,9.65,75
2025-W20,123,78,25,20.33,26
2025-W21,181,150,18,9.94,32
2025-W22,165,143,18,10.91,40
2025-W23,135,89,38,28.15,25
2025-W24,100,72,24,24.0,27
2025-W25,94,79,11,11.7,28
2025-W26,114,86,20,17.54,40
2025-W27,144,78,53,36.81,41
2025-W28,52,32,17,32.69,25
2025-W29,136,89,39,28.68,48
2025-W30,44,40,4,9.09,21
2025-W31,85,63,16,18.82,43
2025-W32,64,44,18,28.13,25
2025-W33,71,58,11,15.49,33
2025-W34,77,68,8,10.39,36
2025-W35,58,44,11,18.97,27
2025-W36,45,32,11,24.44,26
2025-W37,59,39,11,18.64,31
2025-W38,93,72,16,17.2,52
2025-W39,94,80,10,10.64,53
2025-W40,79,64,8,10.13,46
2025-W41,73,61,5,6.85,41
2025-W42,51,30,13,25.49,30
2025-W43,68,49,15,22.06,39
2025-W44,70,53,11,15.71,34
2025-W45,44,29,10,22.73,27
2025-W46,60,38,13,21.67,32
2025-W47,56,38,12,21.43,30
2025-W48,57,45,8,14.04,27
2025-W49,82,53,18,21.95,44
2025-W50,50,41,8,16.0,29
2025-W51,39,24,10,25.64,24
2025-W52,33,24,2,6.06,21
2026-W01,9,8,1,11.11,6
2026-W02,62,42,15,24.19,37
2026-W03,43,30,13,30.23,24
2026-W04,43,24,14,32.56,23
2026-W05,48,34,8,16.67,26
2026-W06,62,35,22,35.48,35
2026-W07,74,38,19,25.68,39
2026-W08,30,16,11,36.67,17
2026-W09,30,17,9,30.0,17
2026-W10,13,8,3,23.08,8
